"student_gr","variety","fertype","conc","length","wetmass","startlength","startwetmass"
"gr_5","Diamant","kris","C1",22.3,0.1461,14.8,0.089
"gr_5","Oberkulmer","kris","C1",22.2,0.1393,15.9,0.093
"gr_5","Bjarne","control","C0",18.8,0.1553,12.4,0.082
"gr_5","Zebra","control","C0",14.3,0.203,15.1,0.098
"gr_5","Olivin","control","C0",11.7,0.272,11.6,0.075
"gr_5","Magifik","control","C0",19.4,0.1119,13.6,0.114
"gr_5","Diamant","control","C0",22.4,0.283,14.8,0.089
"gr_5","Oberkulmer","control","C0",26.4,0.1846,15.9,0.093
"gr_6","Bjarne","kris","C10",19,0.195,12.9,0.074
"gr_6","Zebra","kris","C10",28,0.17452,15.5,0.102
"gr_6","Olivin","kris","C10",17.1,0.161,12.6,0.096
"gr_6","Magifik","kris","C10",21.1,0.1757,12.9,0.093
"gr_6","Diamant","kris","C10",28.5,0.40438,16,0.102
"gr_6","Oberkulmer","kris","C10",23.9,0.2213,14.8,0.104
"gr_6","Bjarne","kris","C1",20.3,0.1686,12.9,0.074
"gr_6","Zebra","kris","C1",17,0.15299,15.5,0.102
"gr_6","Olivin","kris","C1",14.5,0.1389,12.6,0.096
"gr_6","Magifik","kris","C1",19.7,0.3094,12.9,0.093
"gr_6","Diamant","kris","C1",24.6,0.22615,16,0.102
"gr_6","Oberkulmer","kris","C1",28.7,0.1502,14.8,0.104
"gr_6","Bjarne","control","C0",17.7,0.1481,12.9,0.074
"gr_6","Zebra","control","C0",16.5,0.1528,15.5,0.102
"gr_6","Olivin","control","C0",14.9,0.15454,12.6,0.096
"gr_6","Magifik","control","C0",19.2,0.18599,12.9,0.093
"gr_6","Diamant","control","C0",22.7,0.2607,16,0.102
"gr_6","Oberkulmer","control","C0",24.9,0.1972,14.8,0.104
"gr_7","Bjarne","kris","C10",18.2,0.2138,13.3,0.078
"gr_7","Zebra","kris","C10",19.8,0.1846,13.5,0.093
"gr_7","Olivin","kris","C10",16.9,0.1975,11.2,0.077
"gr_7","Magifik","kris","C10",20.1,0.1882,14.2,0.107
"gr_7","Diamant","kris","C10",27.2,0.3147,17.1,0.09
"gr_7","Oberkulmer","kris","C10",28.3,0.2695,14.8,0.09
"gr_7","Bjarne","kris","C1",18.3,0.1659,13.3,0.078
"gr_7","Zebra","kris","C1",17,0.1639,13.5,0.093
"gr_7","Olivin","kris","C1",14.4,0.1442,11.2,0.077
"gr_7","Magifik","kris","C1",19.5,0.1718,14.2,0.107
"gr_7","Diamant","kris","C1",28.2,0.2412,17.1,0.09
"gr_7","Oberkulmer","kris","C1",25.6,0.1987,14.8,0.09
"gr_7","Bjarne","control","C0",19,0.1805,13.3,0.078
"gr_7","Zebra","control","C0",19.1,0.1735,13.5,0.093
"gr_7","Olivin","control","C0",13.9,0.1432,11.2,0.077
"gr_7","Magifik","control","C0",21.4,0.1965,14.2,0.107
"gr_7","Diamant","control","C0",25.9,0.2588,17.1,0.09
"gr_7","Oberkulmer","control","C0",23.9,0.1791,14.8,0.09
"gr_8","Bjarne","kris","C10",16.6,0.1979,12.2,0.08
"gr_8","Zebra","kris","C10",17.9,0.197,15.2,0.11
"gr_8","Olivin","kris","C10",16.5,0.1896,12,0.081
"gr_8","Magifik","kris","C10",19.8,0.2416,16.3,0.115
"gr_8","Diamant","kris","C10",28.3,0.3584,21.4,0.12
"gr_8","Oberkulmer","kris","C10",30.2,0.2174,17.2,0.097
"gr_8","Bjarne","kris","C1",17.7,0.1707,12.2,0.08
"gr_8","Zebra","kris","C1",16,0.2227,15.2,0.11
"gr_8","Olivin","kris","C1",13.9,0.1418,12,0.081
"gr_8","Magifik","kris","C1",19.2,0.2321,16.3,0.115
"gr_8","Diamant","kris","C1",24.2,0.2163,21.4,0.12
"gr_8","Oberkulmer","kris","C1",27.9,0.1987,17.2,0.097
"gr_8","Bjarne","control","C0",16.5,0.2081,12.2,0.08
"gr_8","Zebra","control","C0",16.9,0.1707,15.2,0.11
"gr_8","Olivin","control","C0",14.5,0.1564,12,0.081
"gr_8","Magifik","control","C0",19.9,0.1843,16.3,0.115
"gr_8","Diamant","control","C0",26.1,0.2734,21.4,0.12
"gr_8","Oberkulmer","control","C0",28.8,0.2201,17.2,0.097
"gr_9","Bjarne","flow","C10",17.6,0.197,13.1,0.098
"gr_9","Zebra","flow","C10",18.5,0.197,14.9,0.111
"gr_9","Olivin","flow","C10",14.9,0.143,11.2,0.085
"gr_9","Magifik","flow","C10",19.4,0.192,13.3,0.104
"gr_9","Diamant","flow","C10",29.4,0.338,18.7,0.11
"gr_9","Oberkulmer","flow","C10",23.8,0.2,16.9,0.094
"gr_9","Bjarne","flow","C1",18.4,0.177,13.1,0.098
"gr_9","Zebra","flow","C1",18.8,0.188,14.9,0.111
"gr_9","Olivin","flow","C1",13.1,0.135,11.2,0.085
"gr_9","Magifik","flow","C1",20,0.181,13.3,0.104
"gr_9","Diamant","flow","C1",24.8,0.235,18.7,0.11
"gr_9","Oberkulmer","flow","C1",26.6,0.22,16.9,0.094
"gr_9","Bjarne","control","C0",18.1,0.154,13.1,0.098
"gr_9","Zebra","control","C0",16.9,0.176,14.9,0.111
"gr_9","Olivin","control","C0",12.2,0.095,11.2,0.085
"gr_9","Magifik","control","C0",20.4,0.213,13.3,0.104
"gr_9","Diamant","control","C0",25.9,0.235,18.7,0.11
"gr_9","Oberkulmer","control","C0",26.1,0.219,16.9,0.094
"gr_10","Bjarne","flow","C10",19.8,0.1849,13.2,0.084
"gr_10","Zebra","flow","C10",18.4,0.2141,13.8,0.096
"gr_10","Olivin","flow","C10",17.4,0.1982,10.6,0.073
"gr_10","Magifik","flow","C10",21,0.174,13.8,0.087
"gr_10","Diamant","flow","C10",27.3,0.3338,19.9,0.12
"gr_10","Oberkulmer","flow","C10",25.8,0.1857,15.8,0.092
"gr_10","Bjarne","flow","C1",19.3,0.1678,13.2,0.084
"gr_10","Zebra","flow","C1",16.5,0.1502,13.8,0.096
"gr_10","Olivin","flow","C1",16,0.1614,10.6,0.073
"gr_10","Magifik","flow","C1",21.2,0.1799,13.8,0.087
"gr_10","Diamant","flow","C1",23.4,0.2278,19.9,0.12
"gr_10","Oberkulmer","flow","C1",27.5,0.1973,15.8,0.092
"gr_10","Bjarne","control","C0",19.1,0.1923,13.2,0.084
"gr_10","Zebra","control","C0",18.8,0.1951,13.8,0.096
"gr_10","Olivin","control","C0",14.7,0.1448,10.6,0.073
"gr_10","Magifik","control","C0",20.2,0.207,13.8,0.087
"gr_10","Diamant","control","C0",28.9,0.3253,19.9,0.12
"gr_10","Oberkulmer","control","C0",26.8,0.1808,15.8,0.092
"gr_11","Bjarne","flow","C10",19.6,0.1834,13.18,0.074
"gr_11","Zebra","flow","C10",19.9,0.2432,13.46,0.09
"gr_11","Olivin","flow","C10",15.3,0.1344,9.6,0.073
"gr_11","Magifik","flow","C10",20.8,0.2152,15.6,0.099
"gr_11","Diamant","flow","C10",27.7,0.2638,18.6,0.125
"gr_11","Oberkulmer","flow","C10",28,0.2669,18,0.104
"gr_11","Bjarne","flow","C1",17.2,0.1156,13.18,0.074
"gr_11","Zebra","flow","C1",17.4,0.195,13.46,0.09
"gr_11","Olivin","flow","C1",13.5,0.144,9.6,0.073
"gr_11","Magifik","flow","C1",18,0.1775,15.6,0.099
"gr_11","Diamant","flow","C1",23.7,0.2127,18.6,0.125
"gr_11","Oberkulmer","flow","C1",24.2,0.2017,18,0.104
